Identifiant,Année_naissance,Education,Situation_matrimoniale,Revenu,Enfant_charge,Ado_charge,Date_acquisition_client,Nombre_jours_depuis_dernier_achat,Montant_vin,Montant_fruits,Montant_viande,Montant_poisson,Montant_sucreries,Montant_luxe,Nb_achats_promo,Achats_en_ligne,Achats_catalogue,Achats_magasin,Nb_visites_web_mois,Accepte_Campagne_3,Accepte_Campagne_4,Accepte_Campagne_5,Accepte_Campagne_1,Accepte_Campagne_2,Reclamation_client,Z_CostContact,Z_Revenue,Response,Nb_achats_total,Depense_totale,Recence_jours,Tenure_jours,Nb_categories_achetees,R_score,F_score,M_score,RFM_score
1994,1983,Graduation,Married,51371.0,1,0,,11,5.0,5.0,6.0,0.0,2.0,1.0,1,1,0,2,7,0,0,0,0,0,0,3.0,11.0,0,3,19.0,11,,5,5,1,1,511
387,1976,Basic,Married,7500.0,0,0,,59,6.0,16.0,11.0,11.0,1.0,16.0,1,2,0,3,8,0,0,0,0,0,0,3.0,11.0,0,5,61.0,59,,6,3,1,2,312
2125,1959,Graduation,Divorced,63033.0,0,0,,82,194.0,61.0,480.0,225.0,112.0,30.0,1,3,4,8,2,0,0,0,0,0,0,3.0,11.0,0,15,1102.0,82,,6,1,3,4,134
8180,1952,Master,Divorced,59354.0,1,1,,53,233.0,2.0,53.0,3.0,5.0,14.0,3,6,1,5,6,0,0,0,0,0,0,3.0,11.0,0,12,310.0,53,,6,3,3,3,333
2569,1987,Graduation,Married,17323.0,0,0,2012-10-10,38,3.0,14.0,17.0,6.0,1.0,5.0,1,1,0,3,8,0,0,0,0,0,0,3.0,11.0,0,4,46.0,38,4754.0,6,4,1,1,411
2114,1946,PhD,Single,82800.0,0,0,,23,1006.0,22.0,115.0,59.0,68.0,45.0,1,7,6,12,3,0,0,1,1,0,0,3.0,11.0,1,25,1315.0,23,,6,4,5,5,455
9736,1980,Graduation,Married,41850.0,1,1,,51,53.0,5.0,19.0,2.0,13.0,4.0,3,3,0,3,8,0,0,0,0,0,0,3.0,11.0,0,6,96.0,51,,6,3,2,2,322
4939,1946,Graduation,Together,37760.0,0,0,,20,84.0,5.0,38.0,150.0,12.0,28.0,2,4,1,6,7,0,0,0,0,0,0,3.0,11.0,0,11,317.0,20,,6,4,3,3,433
6565,1949,Master,Married,76995.0,0,1,,91,1012.0,80.0,498.0,0.0,16.0,176.0,2,11,4,9,5,0,0,0,1,0,0,3.0,11.0,0,24,1782.0,91,,5,1,5,5,155
2278,1985,2n Cycle,Single,33812.0,1,0,2012-03-11,86,4.0,17.0,19.0,30.0,24.0,39.0,2,2,1,3,6,0,0,0,0,0,0,3.0,11.0,0,6,133.0,86,4967.0,6,1,2,2,122
9360,1982,Graduation,Married,37040.0,0,0,2012-08-08,41,86.0,2.0,73.0,69.0,38.0,48.0,1,4,2,5,8,0,0,0,0,0,0,3.0,11.0,0,11,316.0,41,4817.0,6,3,3,3,333
5376,1979,Graduation,Married,2447.0,1,0,2013-06-01,42,1.0,1.0,1725.0,1.0,1.0,1.0,15,0,28,0,1,0,0,0,0,0,0,3.0,11.0,0,28,1730.0,42,4520.0,6,3,5,5,355
1993,1949,PhD,Married,58607.0,0,1,,63,867.0,0.0,86.0,0.0,0.0,19.0,3,2,3,9,8,0,1,0,0,0,0,3.0,11.0,0,14,972.0,63,,3,2,3,4,234
4047,1954,PhD,Married,65324.0,0,1,2014-11-01,0,384.0,0.0,102.0,21.0,32.0,5.0,3,6,2,9,4,0,0,0,0,0,0,3.0,11.0,0,17,544.0,0,4002.0,5,5,4,3,543
1409,1951,Graduation,Together,40689.0,0,1,,69,270.0,3.0,27.0,39.0,6.0,99.0,7,7,1,5,8,0,0,0,0,0,0,3.0,11.0,0,13,444.0,69,,6,2,3,3,233
7892,1969,Graduation,Single,18589.0,0,0,2013-02-01,89,6.0,4.0,25.0,15.0,12.0,13.0,2,2,1,3,7,0,0,0,0,0,0,3.0,11.0,0,6,75.0,89,4640.0,6,1,2,2,122
2404,1976,Graduation,Married,53359.0,1,1,,4,173.0,4.0,30.0,3.0,6.0,41.0,4,5,1,4,7,0,0,0,0,0,0,3.0,11.0,0,10,257.0,4,,6,5,3,3,533
5255,1986,Graduation,Single,51371.0,1,0,,19,5.0,1.0,3.0,3.0,263.0,362.0,0,27,0,0,1,0,0,0,0,0,0,3.0,11.0,0,27,637.0,19,,6,5,5,4,554
9422,1989,Graduation,Married,38360.0,1,0,,26,36.0,2.0,42.0,20.0,21.0,10.0,2,2,1,4,3,0,0,0,0,0,0,3.0,11.0,0,7,131.0,26,,6,4,2,2,422
1966,1965,PhD,Married,84618.0,0,0,,96,684.0,100.0,801.0,21.0,66.0,0.0,1,6,9,10,2,0,0,1,0,0,0,3.0,11.0,0,25,1672.0,96,,5,1,5,5,155
6864,1989,Master,Divorced,10979.0,0,0,,34,8.0,4.0,10.0,2.0,2.0,4.0,2,3,0,3,5,0,0,0,0,0,0,3.0,11.0,0,6,30.0,34,,6,4,2,1,421
3033,1963,Master,Together,38620.0,0,0,2013-11-05,56,112.0,17.0,44.0,34.0,22.0,89.0,1,2,5,3,3,0,0,0,0,0,0,3.0,11.0,0,10,318.0,56,4363.0,6,3,3,3,333
5710,1970,Graduation,Together,40548.0,0,1,2012-10-10,31,110.0,0.0,5.0,2.0,0.0,3.0,2,2,1,4,5,0,1,0,0,0,0,3.0,11.0,0,7,120.0,31,4754.0,4,4,2,2,422
7373,1952,PhD,Divorced,46610.0,0,2,,8,96.0,12.0,96.0,33.0,22.0,43.0,6,4,1,6,6,0,0,0,0,0,0,3.0,11.0,1,11,302.0,8,,6,5,3,3,533
8755,1946,Master,Married,68657.0,0,0,,4,482.0,34.0,471.0,119.0,68.0,22.0,1,3,5,9,7,0,0,0,0,0,0,3.0,11.0,0,17,1196.0,4,,6,5,4,5,545
10738,1951,Master,Single,49389.0,1,1,,55,40.0,0.0,19.0,2.0,1.0,3.0,1,2,0,3,7,0,0,0,0,0,0,3.0,11.0,0,5,65.0,55,,5,3,1,2,312
4339,1970,PhD,Married,67353.0,0,1,,37,702.0,17.0,151.0,0.0,8.0,35.0,5,5,6,12,2,0,0,0,0,0,0,3.0,11.0,0,23,913.0,37,,5,4,5,4,454
10755,1976,2n Cycle,Married,23718.0,1,0,2013-02-09,76,6.0,3.0,14.0,15.0,7.0,36.0,3,3,1,2,7,0,0,0,0,0,0,3.0,11.0,0,6,81.0,76,4632.0,6,2,2,2,222
8595,1973,Graduation,Widow,42429.0,0,1,2014-11-02,99,55.0,0.0,6.0,2.0,0.0,4.0,2,1,1,3,5,0,0,0,0,0,0,3.0,11.0,0,5,67.0,99,4001.0,4,1,1,2,112
2968,1943,PhD,Divorced,48948.0,0,0,2013-01-02,53,437.0,8.0,206.0,160.0,49.0,42.0,2,7,10,5,6,1,0,0,0,0,0,3.0,11.0,1,22,902.0,53,4670.0,6,3,5,4,354
8601,1980,Graduation,Married,80011.0,0,1,,3,421.0,76.0,536.0,82.0,178.0,102.0,2,8,6,5,4,0,0,0,0,0,0,3.0,11.0,0,19,1395.0,3,,6,5,4,5,545
503,1985,Master,Married,20559.0,1,0,2013-12-03,88,13.0,1.0,29.0,3.0,0.0,7.0,2,2,0,3,8,0,0,0,0,0,0,3.0,11.0,0,5,53.0,88,4335.0,5,1,1,1,111
8430,1957,Graduation,Together,21994.0,0,1,,4,9.0,0.0,6.0,3.0,1.0,3.0,1,0,0,3,5,0,0,0,0,0,0,3.0,11.0,0,3,22.0,4,,5,5,1,1,511
7281,1959,PhD,Single,51371.0,0,0,2013-05-11,80,81.0,11.0,50.0,3.0,2.0,39.0,1,1,3,4,2,0,0,0,0,0,0,3.0,11.0,0,8,186.0,80,4541.0,6,1,2,2,122
2139,1975,Master,Married,7500.0,1,0,2013-02-10,19,3.0,1.0,10.0,3.0,2.0,12.0,3,2,0,3,5,0,0,0,0,0,0,3.0,11.0,0,5,31.0,19,4631.0,6,5,1,1,511
1371,1976,Graduation,Single,79941.0,0,0,,72,123.0,164.0,266.0,227.0,30.0,174.0,1,2,4,9,1,0,0,0,0,0,0,3.0,11.0,0,15,984.0,72,,6,2,3,4,234
9909,1996,2n Cycle,Married,7500.0,0,0,2012-09-11,24,3.0,18.0,14.0,15.0,22.0,50.0,3,3,1,3,9,0,0,0,0,0,0,3.0,11.0,1,7,122.0,24,4783.0,6,4,2,2,422
7286,1968,Graduation,Together,41728.0,1,0,,92,13.0,6.0,15.0,3.0,5.0,13.0,1,2,0,2,10,0,0,0,0,0,0,3.0,11.0,0,4,55.0,92,,6,1,1,1,111
7244,1951,Graduation,Single,51371.0,2,1,2014-01-01,96,48.0,5.0,48.0,6.0,10.0,7.0,3,2,1,4,6,0,0,0,0,0,0,3.0,11.0,0,7,124.0,96,4306.0,6,1,2,2,122
6566,1954,PhD,Married,72550.0,1,1,2012-08-11,39,826.0,50.0,317.0,50.0,38.0,38.0,9,5,2,12,8,0,0,0,0,0,0,3.0,11.0,0,19,1319.0,39,4814.0,6,4,4,5,445
8614,1957,Graduation,Widow,65486.0,0,1,2014-12-05,29,245.0,19.0,125.0,37.0,67.0,14.0,1,4,2,10,2,0,0,0,0,0,0,3.0,11.0,0,16,507.0,29,3968.0,6,4,4,3,443
4114,1964,Master,Married,79143.0,0,0,2012-11-08,2,650.0,37.0,780.0,27.0,167.0,32.0,1,6,9,13,3,0,0,0,0,0,0,3.0,11.0,0,28,1693.0,2,4725.0,6,5,5,5,555
1331,1977,Graduation,Single,35790.0,1,0,2013-02-01,54,12.0,6.0,20.0,30.0,1.0,3.0,2,2,0,3,7,0,0,0,0,0,0,3.0,11.0,0,5,72.0,54,4640.0,6,3,1,2,312
2225,1977,Graduation,Divorced,82582.0,0,0,2014-07-06,54,510.0,120.0,550.0,156.0,40.0,241.0,1,4,9,7,1,1,0,0,1,0,0,3.0,11.0,1,20,1617.0,54,4120.0,6,3,4,5,345
9381,1978,Graduation,Married,66373.0,1,1,2013-12-06,57,328.0,9.0,124.0,12.0,24.0,109.0,7,4,2,10,3,0,0,0,0,0,0,3.0,11.0,0,16,606.0,57,4332.0,6,3,4,3,343
6260,1955,Master,Together,82384.0,0,0,,55,984.0,51.0,432.0,180.0,120.0,190.0,1,3,10,13,1,0,0,1,0,0,0,3.0,11.0,1,26,1957.0,55,,6,3,5,5,355
10383,1966,Graduation,Divorced,70287.0,0,0,2013-02-04,30,295.0,35.0,482.0,121.0,120.0,40.0,1,5,5,10,3,0,0,0,0,0,0,3.0,11.0,1,20,1093.0,30,4637.0,6,4,4,4,444
7437,1988,Graduation,Single,27938.0,1,0,,31,13.0,0.0,8.0,2.0,1.0,5.0,1,1,0,4,3,0,0,0,0,0,0,3.0,11.0,0,5,29.0,31,,5,4,1,1,411
8557,1982,Graduation,Single,51371.0,1,0,,57,11.0,3.0,22.0,2.0,2.0,6.0,2,2,0,3,6,0,0,0,0,0,0,3.0,11.0,0,5,46.0,57,,6,3,1,1,311
8375,1968,PhD,Married,55954.0,0,1,2014-03-03,63,447.0,0.0,28.0,0.0,0.0,43.0,3,8,2,6,7,0,0,0,0,0,0,3.0,11.0,0,16,518.0,63,4245.0,3,2,4,3,243
6853,1982,Master,Single,75777.0,0,0,2013-04-07,12,712.0,26.0,538.0,69.0,13.0,80.0,1,3,6,11,1,0,1,1,0,0,0,3.0,11.0,1,20,1438.0,12,4575.0,6,5,4,5,545
3076,1975,Graduation,Together,66653.0,1,1,2012-07-09,18,452.0,18.0,102.0,16.0,18.0,6.0,4,4,2,12,3,0,0,0,0,0,0,3.0,11.0,0,18,612.0,18,4847.0,6,5,4,3,543
1012,1952,Graduation,Single,61823.0,0,1,,26,523.0,7.0,134.0,37.0,14.0,169.0,4,8,2,10,7,0,0,0,0,0,0,3.0,11.0,0,20,884.0,26,,6,4,4,4,444
6518,1951,PhD,Widow,67680.0,0,1,2013-11-06,8,546.0,0.0,48.0,0.0,6.0,6.0,1,7,3,8,5,0,0,0,0,0,0,3.0,11.0,0,18,606.0,8,4362.0,4,5,4,3,543
4137,1948,Graduation,Together,70666.0,0,0,2013-06-12,29,398.0,40.0,367.0,119.0,122.0,30.0,1,7,4,4,4,0,0,0,0,0,0,3.0,11.0,0,15,1076.0,29,4509.0,6,4,3,4,434
8082,1971,Graduation,Married,25721.0,1,0,,75,1.0,3.0,6.0,3.0,6.0,15.0,1,1,1,2,7,0,0,0,0,0,0,3.0,11.0,1,4,34.0,75,,6,2,1,1,211
1386,1967,Graduation,Together,32474.0,1,1,2014-11-05,0,10.0,0.0,1.0,0.0,0.0,0.0,1,1,0,2,7,0,0,0,0,0,0,3.0,11.0,0,3,11.0,0,3998.0,2,5,1,1,511
9369,1979,2n Cycle,Single,88194.0,0,1,,19,688.0,14.0,309.0,201.0,24.0,38.0,1,11,10,10,5,1,0,0,1,0,0,3.0,11.0,1,31,1274.0,19,,6,5,5,5,555
4477,1958,Graduation,Together,69096.0,0,1,,4,247.0,49.0,159.0,7.0,82.0,109.0,1,5,2,10,4,0,0,0,0,0,0,3.0,11.0,0,17,653.0,4,,6,5,4,4,544
1357,1970,Graduation,Together,74854.0,1,2,2013-08-04,90,856.0,59.0,487.0,58.0,29.0,73.0,7,2,5,5,5,0,0,0,0,0,0,3.0,11.0,0,12,1562.0,90,4456.0,6,1,3,5,135
1402,1954,Master,Married,66991.0,0,0,2012-11-09,1,496.0,36.0,460.0,189.0,60.0,12.0,3,4,8,6,3,0,0,0,0,0,0,3.0,11.0,0,18,1253.0,1,4724.0,6,5,4,5,545
10629,1973,2n Cycle,Married,51371.0,1,0,,25,25.0,3.0,43.0,17.0,4.0,17.0,3,3,0,3,8,0,0,0,0,0,0,3.0,11.0,0,6,109.0,25,,6,4,2,2,422
6312,1959,Graduation,Married,65031.0,0,1,,29,258.0,107.0,291.0,84.0,37.0,86.0,4,10,3,13,7,0,0,0,0,0,0,3.0,11.0,0,26,863.0,29,,6,4,5,4,454
8132,1975,PhD,Married,60631.0,1,1,2013-05-04,88,565.0,6.0,65.0,0.0,6.0,19.0,5,9,2,8,7,0,1,0,0,0,0,3.0,11.0,0,19,661.0,88,4548.0,5,1,4,4,144
1050,1952,Graduation,Married,28332.0,0,0,,58,14.0,10.0,13.0,4.0,15.0,9.0,1,2,1,4,2,0,0,0,0,0,0,3.0,11.0,0,7,65.0,58,,6,3,2,2,322
5846,1977,Graduation,Divorced,40246.0,1,0,,68,2.0,1.0,6.0,2.0,1.0,1.0,1,1,0,2,6,0,0,0,0,0,0,3.0,11.0,0,3,13.0,68,,6,2,1,1,211
1859,1972,Master,Married,75251.0,0,0,,34,721.0,111.0,925.0,97.0,18.0,18.0,1,7,6,5,5,0,0,0,0,0,0,3.0,11.0,1,18,1890.0,34,,6,4,4,5,445
7503,1976,Graduation,Single,75825.0,0,0,2012-12-10,40,1032.0,105.0,779.0,137.0,105.0,51.0,0,5,8,9,4,1,0,0,0,0,0,3.0,11.0,1,22,2209.0,40,4693.0,6,3,5,5,355
10401,1976,2n Cycle,Together,26326.0,0,0,2013-04-09,12,1.0,0.0,5.0,0.0,3.0,9.0,1,0,0,3,3,0,0,0,0,0,1,3.0,11.0,0,3,18.0,12,4573.0,4,5,1,1,511
1618,1965,Graduation,Together,56046.0,0,0,2013-02-01,9,577.0,0.0,64.0,0.0,0.0,51.0,2,10,1,8,8,1,0,0,0,0,0,3.0,11.0,1,19,692.0,9,4640.0,3,5,4,4,544
3332,1985,Graduation,Single,29760.0,1,0,,87,64.0,4.0,68.0,7.0,5.0,17.0,4,3,1,4,8,0,0,0,0,0,0,3.0,11.0,0,8,165.0,87,,6,1,2,2,122
2261,1969,Graduation,Married,26304.0,1,0,,5,4.0,1.0,5.0,2.0,0.0,4.0,1,1,0,2,7,0,0,0,0,0,0,3.0,11.0,0,3,16.0,5,,5,5,1,1,511
5346,1973,2n Cycle,Married,23559.0,1,0,2013-03-07,87,25.0,5.0,19.0,7.0,0.0,23.0,3,3,0,3,7,0,0,0,0,0,0,3.0,11.0,0,6,79.0,87,4606.0,5,1,2,2,122
4119,1963,Master,Together,38620.0,0,0,2013-11-05,56,112.0,17.0,44.0,34.0,22.0,89.0,1,2,5,3,3,0,0,0,0,0,0,3.0,11.0,0,10,318.0,56,4363.0,6,3,3,3,333
535,1987,Graduation,Divorced,81361.0,0,0,,18,163.0,23.0,424.0,27.0,65.0,76.0,1,3,10,13,1,0,0,0,0,0,0,3.0,11.0,0,26,778.0,18,,6,5,5,4,554
5268,1960,Graduation,Married,29440.0,1,1,2013-11-08,95,17.0,8.0,14.0,10.0,4.0,3.0,2,1,0,4,7,0,0,0,0,0,0,3.0,11.0,0,5,56.0,95,4360.0,6,1,1,2,112
273,1970,Master,Married,36138.0,1,1,,48,130.0,0.0,16.0,0.0,0.0,5.0,5,3,1,4,7,0,1,0,0,0,0,3.0,11.0,0,8,151.0,48,,3,3,2,2,322
4452,1957,Graduation,Single,50388.0,0,1,,3,292.0,6.0,37.0,0.0,3.0,34.0,4,6,1,6,7,0,1,0,1,0,0,3.0,11.0,1,13,372.0,3,,5,5,3,3,533
8504,1973,Graduation,Married,79593.0,0,0,2014-12-05,70,350.0,60.0,568.0,110.0,133.0,145.0,1,5,6,7,2,0,0,1,0,0,0,3.0,11.0,0,18,1366.0,70,3968.0,6,2,4,5,245
771,1967,Graduation,Together,54178.0,0,1,,79,135.0,9.0,39.0,4.0,0.0,7.0,1,2,2,5,2,0,0,0,0,0,0,3.0,11.0,0,9,194.0,79,,5,2,2,3,223
8996,1957,PhD,Married,51371.0,2,1,,4,230.0,42.0,192.0,49.0,37.0,53.0,12,7,2,8,9,0,0,0,0,0,0,3.0,11.0,0,17,603.0,4,,6,5,4,3,543
9235,1957,Graduation,Single,51371.0,1,1,,45,7.0,0.0,8.0,2.0,0.0,1.0,1,1,0,2,7,0,0,0,0,0,0,3.0,11.0,0,3,18.0,45,,4,3,1,1,311
5798,1973,Master,Together,51371.0,0,0,,87,445.0,37.0,359.0,98.0,28.0,18.0,1,2,4,8,1,0,0,0,0,0,0,3.0,11.0,0,14,985.0,87,,6,1,3,4,134
11178,1972,Master,Single,42394.0,1,0,,69,15.0,2.0,10.0,0.0,1.0,4.0,1,1,0,3,7,0,0,0,0,0,0,3.0,11.0,0,4,32.0,69,,5,2,1,1,211
2230,1970,PhD,Married,23626.0,1,0,,84,27.0,2.0,14.0,0.0,0.0,0.0,3,3,1,3,5,0,0,0,0,0,0,3.0,11.0,0,7,43.0,84,,3,1,2,1,121
7516,1983,Graduation,Married,30096.0,1,0,,30,5.0,3.0,11.0,12.0,5.0,9.0,1,2,0,3,6,0,0,0,0,0,0,3.0,11.0,0,5,45.0,30,,6,4,1,1,411
7247,1960,Graduation,Widow,47916.0,0,1,,72,505.0,0.0,26.0,0.0,0.0,75.0,5,7,4,6,6,0,1,0,0,0,0,3.0,11.0,0,17,606.0,72,,3,2,4,3,243
11100,1972,Graduation,Divorced,51813.0,1,1,2013-11-04,37,51.0,2.0,7.0,0.0,1.0,2.0,2,2,0,3,7,0,0,0,0,0,0,3.0,11.0,0,5,63.0,37,4364.0,5,4,1,2,412
4646,1951,2n Cycle,Married,78497.0,0,0,2013-01-12,44,207.0,26.0,447.0,75.0,0.0,223.0,1,5,7,12,2,0,0,0,1,0,0,3.0,11.0,0,24,978.0,44,4660.0,5,3,5,4,354
3037,1983,PhD,Married,50150.0,0,0,,32,135.0,46.0,92.0,65.0,61.0,11.0,2,5,2,7,5,0,0,0,0,0,0,3.0,11.0,0,14,410.0,32,,6,4,3,3,433
1473,1960,2n Cycle,Single,47823.0,0,1,,0,53.0,1.0,5.0,2.0,1.0,10.0,2,2,0,3,8,0,0,0,0,0,0,3.0,11.0,0,5,72.0,0,,6,5,1,2,512
1016,1959,PhD,Single,34554.0,0,1,,43,41.0,1.0,6.0,2.0,0.0,5.0,2,2,0,3,6,0,0,0,0,0,0,3.0,11.0,0,5,55.0,43,,5,3,1,1,311
4518,1979,Graduation,Together,85693.0,0,1,,59,386.0,172.0,183.0,185.0,132.0,111.0,2,9,5,11,5,0,0,0,0,0,0,3.0,11.0,0,25,1169.0,59,,6,3,5,4,354
9370,1945,PhD,Married,65846.0,0,0,,68,562.0,81.0,276.0,80.0,40.0,81.0,1,6,3,6,4,0,0,0,0,0,0,3.0,11.0,0,15,1120.0,68,,6,2,3,4,234
8908,1959,Graduation,Married,87195.0,0,0,2014-08-05,35,217.0,76.0,690.0,50.0,26.0,38.0,1,3,11,5,1,0,0,0,0,0,0,3.0,11.0,1,19,1097.0,35,4090.0,6,4,4,4,444
8373,1979,Basic,Together,24594.0,1,0,2013-10-12,94,1.0,3.0,6.0,10.0,0.0,9.0,1,1,0,3,5,0,0,0,0,0,0,3.0,11.0,0,4,29.0,94,4387.0,5,1,1,1,111
7533,1964,Graduation,Married,49096.0,1,1,,15,144.0,1.0,32.0,2.0,1.0,7.0,4,4,1,4,7,0,0,0,0,0,0,3.0,11.0,0,9,187.0,15,,6,5,3,2,532
2683,1969,Graduation,Married,52413.0,0,2,2013-02-02,56,295.0,106.0,271.0,75.0,98.0,65.0,4,6,4,12,6,0,0,0,0,0,0,3.0,11.0,0,22,910.0,56,4639.0,6,3,5,4,354
3629,1978,Graduation,Single,38557.0,1,0,,17,76.0,3.0,31.0,4.0,4.0,27.0,2,3,1,3,7,0,0,0,0,0,0,3.0,11.0,0,7,145.0,17,,6,5,2,2,522
10991,1960,Master,Married,89058.0,0,0,2012-07-12,18,454.0,194.0,106.0,31.0,22.0,43.0,1,5,4,4,2,0,0,0,0,0,0,3.0,11.0,0,13,850.0,18,4844.0,6,5,3,4,534
5077,1979,Graduation,Together,77298.0,0,1,2013-02-11,46,425.0,115.0,292.0,23.0,35.0,79.0,1,6,6,11,3,0,0,0,0,0,0,3.0,11.0,0,23,969.0,46,4630.0,6,3,5,4,354
7431,1991,PhD,Single,68126.0,0,0,2012-10-11,40,1332.0,17.0,311.0,23.0,51.0,86.0,1,7,4,5,9,0,1,0,0,0,0,3.0,11.0,1,16,1820.0,40,4753.0,6,3,4,5,345
3267,1963,Master,Together,57288.0,0,1,,27,527.0,0.0,21.0,0.0,0.0,60.0,3,8,1,8,6,0,1,0,0,0,0,3.0,11.0,0,17,608.0,27,,3,4,4,3,443
999,1991,Graduation,Single,86037.0,0,0,2013-02-01,95,490.0,44.0,125.0,29.0,20.0,22.0,1,6,7,11,3,0,1,1,0,0,0,3.0,11.0,1,24,730.0,95,4640.0,6,1,5,4,154
9215,1980,PhD,Married,43974.0,1,0,2012-12-12,19,378.0,0.0,101.0,0.0,0.0,72.0,5,6,4,6,7,0,0,0,0,0,0,3.0,11.0,0,16,551.0,19,4691.0,3,5,4,3,543
2286,1962,Graduation,Single,50785.0,1,1,2013-10-09,27,64.0,1.0,21.0,0.0,1.0,27.0,2,2,1,3,6,0,0,0,0,0,0,3.0,11.0,0,6,114.0,27,4390.0,5,4,2,2,422
1592,1970,Graduation,Married,90765.0,0,0,,25,547.0,99.0,812.0,151.0,82.0,33.0,0,4,6,5,1,0,0,1,1,0,0,3.0,11.0,0,15,1724.0,25,,6,4,3,5,435
367,1978,2n Cycle,Married,36550.0,1,0,,74,47.0,90.0,94.0,123.0,103.0,120.0,5,9,1,5,9,0,0,0,0,0,0,3.0,11.0,0,15,577.0,74,,6,2,3,3,233
5234,1967,2n Cycle,Together,30753.0,1,1,2013-11-07,85,12.0,5.0,25.0,0.0,9.0,30.0,2,1,1,3,5,0,0,0,0,0,0,3.0,11.0,0,5,81.0,85,4361.0,5,1,1,2,112
9862,1969,Graduation,Together,21918.0,1,0,,37,1.0,6.0,7.0,11.0,5.0,3.0,2,2,0,3,6,0,0,0,0,0,0,3.0,11.0,0,5,33.0,37,,6,4,1,1,411
9805,1953,Master,Together,56129.0,0,1,,65,320.0,48.0,133.0,39.0,72.0,48.0,4,6,2,10,4,0,0,0,0,0,0,3.0,11.0,0,18,660.0,65,,6,2,4,4,244
6205,1967,Master,Single,32557.0,1,0,,13,34.0,3.0,29.0,0.0,4.0,10.0,3,2,1,3,5,0,0,0,0,0,0,3.0,11.0,1,6,80.0,13,,5,5,2,2,522
8442,1985,Master,Married,19510.0,2,0,2013-04-09,63,9.0,0.0,7.0,3.0,4.0,7.0,2,1,0,3,7,0,0,0,0,0,0,3.0,11.0,0,4,30.0,63,4573.0,5,2,1,1,211
7386,1976,Graduation,Divorced,30992.0,1,0,,83,17.0,0.0,14.0,7.0,3.0,2.0,1,1,0,3,7,0,0,0,0,0,0,3.0,11.0,0,4,43.0,83,,5,1,1,1,111
7215,1983,Graduation,Single,101970.0,0,0,2013-12-03,69,722.0,27.0,102.0,44.0,72.0,168.0,0,6,8,13,2,0,1,1,1,0,0,3.0,11.0,1,27,1135.0,69,4335.0,6,2,5,4,254
1491,1965,2n Cycle,Together,71488.0,0,0,,87,162.0,33.0,124.0,40.0,28.0,172.0,2,3,4,7,1,0,0,0,0,0,0,3.0,11.0,0,14,559.0,87,,6,1,3,3,133
