Identifiant,Année_naissance,Education,Situation_matrimoniale,Revenu,Enfant_charge,Ado_charge,Date_acquisition_client,Nombre_jours_depuis_dernier_achat,Montant_vin,Montant_fruits,Montant_viande,Montant_poisson,Montant_sucreries,Montant_luxe,Nb_achats_promo,Nb_achats_en_ligne,Achats_catalogue,Achats_magasin,Nb_visites_web_mois,Accepte_Campagne_3,Accepte_Campagne_4,Accepte_Campagne_5,Accepte_Campagne_1,Accepte_Campagne_2,Reclamation_client,Z_CostContact,Z_Revenue,Response,Depense_totale,Depense_plaisir,Part_plaisir,Taux_depense_sur_revenu,Total_achats,Part_achats_en_ligne,Part_achats_catalogue,Taux_visite_achat_web,Nb_enfants_total,Age,Score_engagement_marketing,Taux_acceptation_campagne
1994,1983,Graduation,Married,51371.0,1,0,1970-01-01,11,5.0,5.0,6.0,0.0,2.0,1.0,1,1,0,2,7,0,0,0,0,0,0,3.0,11.0,0,19.0,8.0,0.42105263157894735,0.0003698584804656324,3,0.3333333333333333,0.0,0.14285714285714285,1,31,0,0.0
387,1976,Basic,Married,7500.0,0,0,1970-01-01,59,6.0,16.0,11.0,11.0,1.0,16.0,1,2,0,3,8,0,0,0,0,0,0,3.0,11.0,0,61.0,23.0,0.3770491803278688,0.008133333333333333,5,0.4,0.0,0.25,0,38,0,0.0
2125,1959,Graduation,Divorced,63033.0,0,0,1970-01-01,82,194.0,61.0,480.0,225.0,112.0,30.0,1,3,4,8,2,0,0,0,0,0,0,3.0,11.0,0,1102.0,336.0,0.30490018148820325,0.01748290577951232,15,0.2,0.26666666666666666,1.5,0,55,0,0.0
8180,1952,Master,Divorced,59354.0,1,1,1970-01-01,53,233.0,2.0,53.0,3.0,5.0,14.0,3,6,1,5,6,0,0,0,0,0,0,3.0,11.0,0,310.0,252.0,0.8129032258064516,0.005222899888802777,12,0.5,0.08333333333333333,1.0,2,62,0,0.0
2569,1987,Graduation,Married,17323.0,0,0,2012-10-10,38,3.0,14.0,17.0,6.0,1.0,5.0,1,1,0,3,8,0,0,0,0,0,0,3.0,11.0,0,46.0,9.0,0.1956521739130435,0.0026554291981758355,4,0.25,0.0,0.125,0,27,0,0.0
2114,1946,PhD,Single,82800.0,0,0,1970-01-01,23,1006.0,22.0,115.0,59.0,68.0,45.0,1,7,6,12,3,0,0,1,1,0,0,3.0,11.0,1,1315.0,1119.0,0.8509505703422053,0.015881642512077295,25,0.28,0.24,2.3333333333333335,0,68,2,0.4
9736,1980,Graduation,Married,41850.0,1,1,1970-01-01,51,53.0,5.0,19.0,2.0,13.0,4.0,3,3,0,3,8,0,0,0,0,0,0,3.0,11.0,0,96.0,70.0,0.7291666666666666,0.0022939068100358423,6,0.5,0.0,0.375,2,34,0,0.0
4939,1946,Graduation,Together,37760.0,0,0,1970-01-01,20,84.0,5.0,38.0,150.0,12.0,28.0,2,4,1,6,7,0,0,0,0,0,0,3.0,11.0,0,317.0,124.0,0.3911671924290221,0.008395127118644067,11,0.36363636363636365,0.09090909090909091,0.5714285714285714,0,68,0,0.0
6565,1949,Master,Married,76995.0,0,1,1970-01-01,91,1012.0,80.0,498.0,0.0,16.0,176.0,2,11,4,9,5,0,0,0,1,0,0,3.0,11.0,0,1782.0,1204.0,0.675645342312009,0.023144360023378142,24,0.4583333333333333,0.16666666666666666,2.2,1,65,1,0.2
2278,1985,2n Cycle,Single,33812.0,1,0,2012-03-11,86,4.0,17.0,19.0,30.0,24.0,39.0,2,2,1,3,6,0,0,0,0,0,0,3.0,11.0,0,133.0,67.0,0.5037593984962406,0.003933514728498758,6,0.3333333333333333,0.16666666666666666,0.3333333333333333,1,29,0,0.0
9360,1982,Graduation,Married,37040.0,0,0,2012-08-08,41,86.0,2.0,73.0,69.0,38.0,48.0,1,4,2,5,8,0,0,0,0,0,0,3.0,11.0,0,316.0,172.0,0.5443037974683544,0.008531317494600432,11,0.36363636363636365,0.18181818181818182,0.5,0,32,0,0.0
5376,1979,Graduation,Married,2447.0,1,0,2013-06-01,42,1.0,1.0,1725.0,1.0,1.0,1.0,15,0,28,0,1,0,0,0,0,0,0,3.0,11.0,0,1730.0,3.0,0.0017341040462427746,0.7069881487535759,28,0.0,1.0,0.0,1,35,0,0.0
1993,1949,PhD,Married,58607.0,0,1,1970-01-01,63,867.0,0.0,86.0,0.0,0.0,19.0,3,2,3,9,8,0,1,0,0,0,0,3.0,11.0,0,972.0,886.0,0.911522633744856,0.01658504956745781,14,0.14285714285714285,0.21428571428571427,0.25,1,65,1,0.2
4047,1954,PhD,Married,65324.0,0,1,2014-11-01,0,384.0,0.0,102.0,21.0,32.0,5.0,3,6,2,9,4,0,0,0,0,0,0,3.0,11.0,0,544.0,421.0,0.7738970588235294,0.008327720286571551,17,0.35294117647058826,0.11764705882352941,1.5,1,60,0,0.0
1409,1951,Graduation,Together,40689.0,0,1,1970-01-01,69,270.0,3.0,27.0,39.0,6.0,99.0,7,7,1,5,8,0,0,0,0,0,0,3.0,11.0,0,444.0,375.0,0.8445945945945946,0.010912040109120402,13,0.5384615384615384,0.07692307692307693,0.875,1,63,0,0.0
7892,1969,Graduation,Single,18589.0,0,0,2013-02-01,89,6.0,4.0,25.0,15.0,12.0,13.0,2,2,1,3,7,0,0,0,0,0,0,3.0,11.0,0,75.0,31.0,0.41333333333333333,0.004034644144386465,6,0.3333333333333333,0.16666666666666666,0.2857142857142857,0,45,0,0.0
2404,1976,Graduation,Married,53359.0,1,1,1970-01-01,4,173.0,4.0,30.0,3.0,6.0,41.0,4,5,1,4,7,0,0,0,0,0,0,3.0,11.0,0,257.0,220.0,0.8560311284046692,0.004816432092055698,10,0.5,0.1,0.7142857142857143,2,38,0,0.0
5255,1986,Graduation,Single,51371.0,1,0,1970-01-01,19,5.0,1.0,3.0,3.0,263.0,362.0,0,27,0,0,1,0,0,0,0,0,0,3.0,11.0,0,637.0,630.0,0.989010989010989,0.012399992213505675,27,1.0,0.0,27.0,1,28,0,0.0
9422,1989,Graduation,Married,38360.0,1,0,1970-01-01,26,36.0,2.0,42.0,20.0,21.0,10.0,2,2,1,4,3,0,0,0,0,0,0,3.0,11.0,0,131.0,67.0,0.5114503816793893,0.0034150156412930135,7,0.2857142857142857,0.14285714285714285,0.6666666666666666,1,25,0,0.0
1966,1965,PhD,Married,84618.0,0,0,1970-01-01,96,684.0,100.0,801.0,21.0,66.0,0.0,1,6,9,10,2,0,0,1,0,0,0,3.0,11.0,0,1672.0,750.0,0.4485645933014354,0.019759389255241202,25,0.24,0.36,3.0,0,49,1,0.2
6864,1989,Master,Divorced,10979.0,0,0,1970-01-01,34,8.0,4.0,10.0,2.0,2.0,4.0,2,3,0,3,5,0,0,0,0,0,0,3.0,11.0,0,30.0,14.0,0.4666666666666667,0.0027324892977502505,6,0.5,0.0,0.6,0,25,0,0.0
3033,1963,Master,Together,38620.0,0,0,2013-11-05,56,112.0,17.0,44.0,34.0,22.0,89.0,1,2,5,3,3,0,0,0,0,0,0,3.0,11.0,0,318.0,223.0,0.7012578616352201,0.008234075608493008,10,0.2,0.5,0.6666666666666666,0,51,0,0.0
5710,1970,Graduation,Together,40548.0,0,1,2012-10-10,31,110.0,0.0,5.0,2.0,0.0,3.0,2,2,1,4,5,0,1,0,0,0,0,3.0,11.0,0,120.0,113.0,0.9416666666666667,0.002959455460195324,7,0.2857142857142857,0.14285714285714285,0.4,1,44,1,0.2
7373,1952,PhD,Divorced,46610.0,0,2,1970-01-01,8,96.0,12.0,96.0,33.0,22.0,43.0,6,4,1,6,6,0,0,0,0,0,0,3.0,11.0,1,302.0,161.0,0.5331125827814569,0.00647929628835014,11,0.36363636363636365,0.09090909090909091,0.6666666666666666,2,62,0,0.0
8755,1946,Master,Married,68657.0,0,0,1970-01-01,4,482.0,34.0,471.0,119.0,68.0,22.0,1,3,5,9,7,0,0,0,0,0,0,3.0,11.0,0,1196.0,572.0,0.4782608695652174,0.01741992804812328,17,0.17647058823529413,0.29411764705882354,0.42857142857142855,0,68,0,0.0
10738,1951,Master,Single,49389.0,1,1,1970-01-01,55,40.0,0.0,19.0,2.0,1.0,3.0,1,2,0,3,7,0,0,0,0,0,0,3.0,11.0,0,65.0,44.0,0.676923076923077,0.0013160825284982485,5,0.4,0.0,0.2857142857142857,2,63,0,0.0
4339,1970,PhD,Married,67353.0,0,1,1970-01-01,37,702.0,17.0,151.0,0.0,8.0,35.0,5,5,6,12,2,0,0,0,0,0,0,3.0,11.0,0,913.0,745.0,0.8159912376779846,0.013555446676465785,23,0.21739130434782608,0.2608695652173913,2.5,1,44,0,0.0
10755,1976,2n Cycle,Married,23718.0,1,0,2013-02-09,76,6.0,3.0,14.0,15.0,7.0,36.0,3,3,1,2,7,0,0,0,0,0,0,3.0,11.0,0,81.0,49.0,0.6049382716049383,0.0034151277510751326,6,0.5,0.16666666666666666,0.42857142857142855,1,38,0,0.0
8595,1973,Graduation,Widow,42429.0,0,1,2014-11-02,99,55.0,0.0,6.0,2.0,0.0,4.0,2,1,1,3,5,0,0,0,0,0,0,3.0,11.0,0,67.0,59.0,0.8805970149253731,0.0015791086285323716,5,0.2,0.2,0.2,1,41,0,0.0
2968,1943,PhD,Divorced,48948.0,0,0,2013-01-02,53,437.0,8.0,206.0,160.0,49.0,42.0,2,7,10,5,6,1,0,0,0,0,0,3.0,11.0,1,902.0,528.0,0.5853658536585366,0.01842771921222522,22,0.3181818181818182,0.45454545454545453,1.1666666666666667,0,71,1,0.2
8601,1980,Graduation,Married,80011.0,0,1,1970-01-01,3,421.0,76.0,536.0,82.0,178.0,102.0,2,8,6,5,4,0,0,0,0,0,0,3.0,11.0,0,1395.0,701.0,0.5025089605734767,0.01743510267338241,19,0.42105263157894735,0.3157894736842105,2.0,1,34,0,0.0
503,1985,Master,Married,20559.0,1,0,2013-12-03,88,13.0,1.0,29.0,3.0,0.0,7.0,2,2,0,3,8,0,0,0,0,0,0,3.0,11.0,0,53.0,20.0,0.37735849056603776,0.0025779463981711174,5,0.4,0.0,0.25,1,29,0,0.0
8430,1957,Graduation,Together,21994.0,0,1,1970-01-01,4,9.0,0.0,6.0,3.0,1.0,3.0,1,0,0,3,5,0,0,0,0,0,0,3.0,11.0,0,22.0,13.0,0.5909090909090909,0.0010002728016731835,3,0.0,0.0,0.0,1,57,0,0.0
7281,1959,PhD,Single,51371.0,0,0,2013-05-11,80,81.0,11.0,50.0,3.0,2.0,39.0,1,1,3,4,2,0,0,0,0,0,0,3.0,11.0,0,186.0,122.0,0.6559139784946236,0.003620719861400401,8,0.125,0.375,0.5,0,55,0,0.0
2139,1975,Master,Married,7500.0,1,0,2013-02-10,19,3.0,1.0,10.0,3.0,2.0,12.0,3,2,0,3,5,0,0,0,0,0,0,3.0,11.0,0,31.0,17.0,0.5483870967741935,0.0041333333333333335,5,0.4,0.0,0.4,1,39,0,0.0
1371,1976,Graduation,Single,79941.0,0,0,1970-01-01,72,123.0,164.0,266.0,227.0,30.0,174.0,1,2,4,9,1,0,0,0,0,0,0,3.0,11.0,0,984.0,327.0,0.3323170731707317,0.012309077944984426,15,0.13333333333333333,0.26666666666666666,2.0,0,38,0,0.0
9909,1996,2n Cycle,Married,7500.0,0,0,2012-09-11,24,3.0,18.0,14.0,15.0,22.0,50.0,3,3,1,3,9,0,0,0,0,0,0,3.0,11.0,1,122.0,75.0,0.6147540983606558,0.016266666666666665,7,0.42857142857142855,0.14285714285714285,0.3333333333333333,0,18,0,0.0
7286,1968,Graduation,Together,41728.0,1,0,1970-01-01,92,13.0,6.0,15.0,3.0,5.0,13.0,1,2,0,2,10,0,0,0,0,0,0,3.0,11.0,0,55.0,31.0,0.5636363636363636,0.0013180598159509202,4,0.5,0.0,0.2,1,46,0,0.0
7244,1951,Graduation,Single,51371.0,2,1,2014-01-01,96,48.0,5.0,48.0,6.0,10.0,7.0,3,2,1,4,6,0,0,0,0,0,0,3.0,11.0,0,124.0,65.0,0.5241935483870968,0.0024138132409336007,7,0.2857142857142857,0.14285714285714285,0.3333333333333333,3,63,0,0.0
6566,1954,PhD,Married,72550.0,1,1,2012-08-11,39,826.0,50.0,317.0,50.0,38.0,38.0,9,5,2,12,8,0,0,0,0,0,0,3.0,11.0,0,1319.0,902.0,0.6838514025777104,0.01818056512749828,19,0.2631578947368421,0.10526315789473684,0.625,2,60,0,0.0
8614,1957,Graduation,Widow,65486.0,0,1,2014-12-05,29,245.0,19.0,125.0,37.0,67.0,14.0,1,4,2,10,2,0,0,0,0,0,0,3.0,11.0,0,507.0,326.0,0.6429980276134122,0.0077421128180069024,16,0.25,0.125,2.0,1,57,0,0.0
4114,1964,Master,Married,79143.0,0,0,2012-11-08,2,650.0,37.0,780.0,27.0,167.0,32.0,1,6,9,13,3,0,0,0,0,0,0,3.0,11.0,0,1693.0,849.0,0.5014766686355582,0.021391658137801195,28,0.21428571428571427,0.32142857142857145,2.0,0,50,0,0.0
1331,1977,Graduation,Single,35790.0,1,0,2013-02-01,54,12.0,6.0,20.0,30.0,1.0,3.0,2,2,0,3,7,0,0,0,0,0,0,3.0,11.0,0,72.0,16.0,0.2222222222222222,0.00201173512154233,5,0.4,0.0,0.2857142857142857,1,37,0,0.0
2225,1977,Graduation,Divorced,82582.0,0,0,2014-07-06,54,510.0,120.0,550.0,156.0,40.0,241.0,1,4,9,7,1,1,0,0,1,0,0,3.0,11.0,1,1617.0,791.0,0.48917748917748916,0.019580538131796277,20,0.2,0.45,4.0,0,37,2,0.4
9381,1978,Graduation,Married,66373.0,1,1,2013-12-06,57,328.0,9.0,124.0,12.0,24.0,109.0,7,4,2,10,3,0,0,0,0,0,0,3.0,11.0,0,606.0,461.0,0.7607260726072608,0.009130218612990222,16,0.25,0.125,1.3333333333333333,2,36,0,0.0
6260,1955,Master,Together,82384.0,0,0,1970-01-01,55,984.0,51.0,432.0,180.0,120.0,190.0,1,3,10,13,1,0,0,1,0,0,0,3.0,11.0,1,1957.0,1294.0,0.6612161471640265,0.023754612546125462,26,0.11538461538461539,0.38461538461538464,3.0,0,59,1,0.2
10383,1966,Graduation,Divorced,70287.0,0,0,2013-02-04,30,295.0,35.0,482.0,121.0,120.0,40.0,1,5,5,10,3,0,0,0,0,0,0,3.0,11.0,1,1093.0,455.0,0.4162854528819762,0.015550528547242022,20,0.25,0.25,1.6666666666666667,0,48,0,0.0
7437,1988,Graduation,Single,27938.0,1,0,1970-01-01,31,13.0,0.0,8.0,2.0,1.0,5.0,1,1,0,4,3,0,0,0,0,0,0,3.0,11.0,0,29.0,19.0,0.6551724137931034,0.0010380127425012528,5,0.2,0.0,0.3333333333333333,1,26,0,0.0
8557,1982,Graduation,Single,51371.0,1,0,1970-01-01,57,11.0,3.0,22.0,2.0,2.0,6.0,2,2,0,3,6,0,0,0,0,0,0,3.0,11.0,0,46.0,19.0,0.41304347826086957,0.0008954468474431099,5,0.4,0.0,0.3333333333333333,1,32,0,0.0
8375,1968,PhD,Married,55954.0,0,1,2014-03-03,63,447.0,0.0,28.0,0.0,0.0,43.0,3,8,2,6,7,0,0,0,0,0,0,3.0,11.0,0,518.0,490.0,0.9459459459459459,0.009257604460807091,16,0.5,0.125,1.1428571428571428,1,46,0,0.0
6853,1982,Master,Single,75777.0,0,0,2013-04-07,12,712.0,26.0,538.0,69.0,13.0,80.0,1,3,6,11,1,0,1,1,0,0,0,3.0,11.0,1,1438.0,805.0,0.5598052851182197,0.018976734365308733,20,0.15,0.3,3.0,0,32,2,0.4
3076,1975,Graduation,Together,66653.0,1,1,2012-07-09,18,452.0,18.0,102.0,16.0,18.0,6.0,4,4,2,12,3,0,0,0,0,0,0,3.0,11.0,0,612.0,476.0,0.7777777777777778,0.009181882285868604,18,0.2222222222222222,0.1111111111111111,1.3333333333333333,2,39,0,0.0
1012,1952,Graduation,Single,61823.0,0,1,1970-01-01,26,523.0,7.0,134.0,37.0,14.0,169.0,4,8,2,10,7,0,0,0,0,0,0,3.0,11.0,0,884.0,706.0,0.7986425339366516,0.014298885528039726,20,0.4,0.1,1.1428571428571428,1,62,0,0.0
6518,1951,PhD,Widow,67680.0,0,1,2013-11-06,8,546.0,0.0,48.0,0.0,6.0,6.0,1,7,3,8,5,0,0,0,0,0,0,3.0,11.0,0,606.0,558.0,0.9207920792079208,0.008953900709219859,18,0.3888888888888889,0.16666666666666666,1.4,1,63,0,0.0
4137,1948,Graduation,Together,70666.0,0,0,2013-06-12,29,398.0,40.0,367.0,119.0,122.0,30.0,1,7,4,4,4,0,0,0,0,0,0,3.0,11.0,0,1076.0,550.0,0.5111524163568774,0.0152265587411202,15,0.4666666666666667,0.26666666666666666,1.75,0,66,0,0.0
8082,1971,Graduation,Married,25721.0,1,0,1970-01-01,75,1.0,3.0,6.0,3.0,6.0,15.0,1,1,1,2,7,0,0,0,0,0,0,3.0,11.0,1,34.0,22.0,0.6470588235294118,0.0013218770654329147,4,0.25,0.25,0.14285714285714285,1,43,0,0.0
1386,1967,Graduation,Together,32474.0,1,1,2014-11-05,0,10.0,0.0,1.0,0.0,0.0,0.0,1,1,0,2,7,0,0,0,0,0,0,3.0,11.0,0,11.0,10.0,0.9090909090909091,0.00033873252448112336,3,0.3333333333333333,0.0,0.14285714285714285,2,47,0,0.0
9369,1979,2n Cycle,Single,88194.0,0,1,1970-01-01,19,688.0,14.0,309.0,201.0,24.0,38.0,1,11,10,10,5,1,0,0,1,0,0,3.0,11.0,1,1274.0,750.0,0.5886970172684458,0.014445427126561898,31,0.3548387096774194,0.3225806451612903,2.2,1,35,2,0.4
4477,1958,Graduation,Together,69096.0,0,1,1970-01-01,4,247.0,49.0,159.0,7.0,82.0,109.0,1,5,2,10,4,0,0,0,0,0,0,3.0,11.0,0,653.0,438.0,0.6707503828483921,0.009450619428042144,17,0.29411764705882354,0.11764705882352941,1.25,1,56,0,0.0
1357,1970,Graduation,Together,74854.0,1,2,2013-08-04,90,856.0,59.0,487.0,58.0,29.0,73.0,7,2,5,5,5,0,0,0,0,0,0,3.0,11.0,0,1562.0,958.0,0.6133162612035852,0.020867288321265397,12,0.16666666666666666,0.4166666666666667,0.4,3,44,0,0.0
1402,1954,Master,Married,66991.0,0,0,2012-11-09,1,496.0,36.0,460.0,189.0,60.0,12.0,3,4,8,6,3,0,0,0,0,0,0,3.0,11.0,0,1253.0,568.0,0.4533120510774142,0.01870400501559911,18,0.2222222222222222,0.4444444444444444,1.3333333333333333,0,60,0,0.0
10629,1973,2n Cycle,Married,51371.0,1,0,1970-01-01,25,25.0,3.0,43.0,17.0,4.0,17.0,3,3,0,3,8,0,0,0,0,0,0,3.0,11.0,0,109.0,46.0,0.42201834862385323,0.002121819703723891,6,0.5,0.0,0.375,1,41,0,0.0
6312,1959,Graduation,Married,65031.0,0,1,1970-01-01,29,258.0,107.0,291.0,84.0,37.0,86.0,4,10,3,13,7,0,0,0,0,0,0,3.0,11.0,0,863.0,381.0,0.44148319814600234,0.013270594024388368,26,0.38461538461538464,0.11538461538461539,1.4285714285714286,1,55,0,0.0
8132,1975,PhD,Married,60631.0,1,1,2013-05-04,88,565.0,6.0,65.0,0.0,6.0,19.0,5,9,2,8,7,0,1,0,0,0,0,3.0,11.0,0,661.0,590.0,0.8925869894099848,0.01090201382131253,19,0.47368421052631576,0.10526315789473684,1.2857142857142858,2,39,1,0.2
1050,1952,Graduation,Married,28332.0,0,0,1970-01-01,58,14.0,10.0,13.0,4.0,15.0,9.0,1,2,1,4,2,0,0,0,0,0,0,3.0,11.0,0,65.0,38.0,0.5846153846153846,0.00229422561061697,7,0.2857142857142857,0.14285714285714285,1.0,0,62,0,0.0
5846,1977,Graduation,Divorced,40246.0,1,0,1970-01-01,68,2.0,1.0,6.0,2.0,1.0,1.0,1,1,0,2,6,0,0,0,0,0,0,3.0,11.0,0,13.0,4.0,0.3076923076923077,0.0003230134671768623,3,0.3333333333333333,0.0,0.16666666666666666,1,37,0,0.0
1859,1972,Master,Married,75251.0,0,0,1970-01-01,34,721.0,111.0,925.0,97.0,18.0,18.0,1,7,6,5,5,0,0,0,0,0,0,3.0,11.0,1,1890.0,757.0,0.4005291005291005,0.025115945303052452,18,0.3888888888888889,0.3333333333333333,1.4,0,42,0,0.0
7503,1976,Graduation,Single,75825.0,0,0,2012-12-10,40,1032.0,105.0,779.0,137.0,105.0,51.0,0,5,8,9,4,1,0,0,0,0,0,3.0,11.0,1,2209.0,1188.0,0.5377999094612947,0.02913287174414771,22,0.22727272727272727,0.36363636363636365,1.25,0,38,1,0.2
10401,1976,2n Cycle,Together,26326.0,0,0,2013-04-09,12,1.0,0.0,5.0,0.0,3.0,9.0,1,0,0,3,3,0,0,0,0,0,1,3.0,11.0,0,18.0,13.0,0.7222222222222222,0.0006837347109321583,3,0.0,0.0,0.0,0,38,0,0.0
1618,1965,Graduation,Together,56046.0,0,0,2013-02-01,9,577.0,0.0,64.0,0.0,0.0,51.0,2,10,1,8,8,1,0,0,0,0,0,3.0,11.0,1,692.0,628.0,0.9075144508670521,0.012347000678014489,19,0.5263157894736842,0.05263157894736842,1.25,0,49,1,0.2
3332,1985,Graduation,Single,29760.0,1,0,1970-01-01,87,64.0,4.0,68.0,7.0,5.0,17.0,4,3,1,4,8,0,0,0,0,0,0,3.0,11.0,0,165.0,86.0,0.5212121212121212,0.005544354838709678,8,0.375,0.125,0.375,1,29,0,0.0
2261,1969,Graduation,Married,26304.0,1,0,1970-01-01,5,4.0,1.0,5.0,2.0,0.0,4.0,1,1,0,2,7,0,0,0,0,0,0,3.0,11.0,0,16.0,8.0,0.5,0.0006082725060827251,3,0.3333333333333333,0.0,0.14285714285714285,1,45,0,0.0
5346,1973,2n Cycle,Married,23559.0,1,0,2013-03-07,87,25.0,5.0,19.0,7.0,0.0,23.0,3,3,0,3,7,0,0,0,0,0,0,3.0,11.0,0,79.0,48.0,0.6075949367088608,0.0033532832463177556,6,0.5,0.0,0.42857142857142855,1,41,0,0.0
4119,1963,Master,Together,38620.0,0,0,2013-11-05,56,112.0,17.0,44.0,34.0,22.0,89.0,1,2,5,3,3,0,0,0,0,0,0,3.0,11.0,0,318.0,223.0,0.7012578616352201,0.008234075608493008,10,0.2,0.5,0.6666666666666666,0,51,0,0.0
535,1987,Graduation,Divorced,81361.0,0,0,1970-01-01,18,163.0,23.0,424.0,27.0,65.0,76.0,1,3,10,13,1,0,0,0,0,0,0,3.0,11.0,0,778.0,304.0,0.390745501285347,0.009562321013753518,26,0.11538461538461539,0.38461538461538464,3.0,0,27,0,0.0
5268,1960,Graduation,Married,29440.0,1,1,2013-11-08,95,17.0,8.0,14.0,10.0,4.0,3.0,2,1,0,4,7,0,0,0,0,0,0,3.0,11.0,0,56.0,24.0,0.42857142857142855,0.0019021739130434783,5,0.2,0.0,0.14285714285714285,2,54,0,0.0
273,1970,Master,Married,36138.0,1,1,1970-01-01,48,130.0,0.0,16.0,0.0,0.0,5.0,5,3,1,4,7,0,1,0,0,0,0,3.0,11.0,0,151.0,135.0,0.8940397350993378,0.004178427140406221,8,0.375,0.125,0.42857142857142855,2,44,1,0.2
4452,1957,Graduation,Single,50388.0,0,1,1970-01-01,3,292.0,6.0,37.0,0.0,3.0,34.0,4,6,1,6,7,0,1,0,1,0,0,3.0,11.0,1,372.0,329.0,0.8844086021505376,0.007382710169087878,13,0.46153846153846156,0.07692307692307693,0.8571428571428571,1,57,2,0.4
8504,1973,Graduation,Married,79593.0,0,0,2014-12-05,70,350.0,60.0,568.0,110.0,133.0,145.0,1,5,6,7,2,0,0,1,0,0,0,3.0,11.0,0,1366.0,628.0,0.45973645680819913,0.01716231326875479,18,0.2777777777777778,0.3333333333333333,2.5,0,41,1,0.2
771,1967,Graduation,Together,54178.0,0,1,1970-01-01,79,135.0,9.0,39.0,4.0,0.0,7.0,1,2,2,5,2,0,0,0,0,0,0,3.0,11.0,0,194.0,142.0,0.7319587628865979,0.0035807892502491786,9,0.2222222222222222,0.2222222222222222,1.0,1,47,0,0.0
8996,1957,PhD,Married,51371.0,2,1,1970-01-01,4,230.0,42.0,192.0,49.0,37.0,53.0,12,7,2,8,9,0,0,0,0,0,0,3.0,11.0,0,603.0,320.0,0.5306799336650083,0.011738140195830332,17,0.4117647058823529,0.11764705882352941,0.7777777777777778,3,57,0,0.0
